"idx";"Player";"side_swing_plane_p2";"side_swing_plane_p3";"side_swing_plane_p4";"side_swing_plane_p5";"side_swing_plane_p6";"side_err_msg";"side_update_at";"clubhead_face_sweet_spot";"clubhead_err_msg";"clubhead_update_at";"front_is_head_lifted";"front_is_head_rotated";"front_is_knee_straightened";"front_err_msg";"front_update_at"
"141144";"min";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:12:44";1;"";"2023-01-06 14:12:08";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:12:05"
"141150";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:12:42";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:12:10"
"141201";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-11-10 14:12:19";1;"";"2022-11-10 14:11:45";0;0;0;"";""
"141209";"Ellen";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:12:34";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:12:18"
"141211";"angel";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-09 14:13:06";1;"";"2023-02-09 14:12:32";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-09 14:12:31"
"141214";"Vivi";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-06 14:13:08";1;"";"2023-02-06 14:12:36";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:12:34"
"141225";"yu";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:13:25";1;"";"2023-01-06 14:12:50";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:12:46"
"141229";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P1, IEEE 未偵測到 P2, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2022-12-27 14:13:27";1;"";"2022-12-27 14:12:53";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:12:48"
"141230";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:13:04";1;"";"2023-02-10 14:12:45";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:12:42"
"141247";"angel";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-09 14:13:41";1;"";"2023-02-09 14:13:10";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-09 14:13:08"
"141249";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:13:44";1;"";"2023-02-13 14:13:11";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:13:09"
"141250";"Vivi";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-06 14:13:45";1;"";"2023-02-06 14:13:13";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:13:12"
"141306";"yu";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:14:05";1;"";"2023-01-06 14:13:31";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:13:27"
"141311";"Jessica";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:14:02";1;"";"2023-02-10 14:13:33";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:13:30"
"141318";"Jessica";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-02-06 14:14:10";1;"";"2023-02-06 14:13:39";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:13:36"
"141324";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:14:19";1;"";"2023-02-13 14:13:47";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:13:44"
"141338";"angel";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-09 14:14:32";1;"";"2023-02-09 14:14:00";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-09 14:13:57"
